frame,track_id,class,cx,cy,w,h,depth
1,-1,2,862,132,282,238,8.041
1,-1,0,1036,139,112,67,28.294
1,-1,2,822,140,41,59,4.178
1,-1,2,501,145,55,167,16.454
2,-1,2,896,146,241,164,8.005
2,-1,1,1029,156,78,40,27.852
3,-1,1,0,177,393,153,11.525
3,-1,1,1138,206,86,53,11.550
3,-1,0,787,208,102,83,4.178
4,-1,1,0,130,1224,240,4.178
4,-1,0,787,167,147,130,4.178
5,-1,2,953,143,225,176,7.946
5,-1,0,787,181,93,102,4.178
6,-1,2,970,153,223,157,7.958
6,-1,0,787,168,156,119,4.178
6,-1,2,961,234,29,55,11.650
7,-1,0,805,150,372,159,10.304
8,-1,0,843,159,151,132,10.343
9,-1,0,870,158,113,125,10.485
10,-1,0,892,159,94,120,10.384
11,-1,1,881,159,70,44,28.145
11,-1,0,918,212,60,51,10.384
12,-1,0,996,134,223,161,10.444
12,-1,1,865,160,58,43,28.444
13,-1,0,994,138,166,137,10.527
13,-1,0,847,160,64,42,4.178
13,-1,1,158,173,89,121,10.109
14,-1,0,1004,135,180,152,10.444
14,-1,1,997,146,46,53,8.795
14,-1,1,172,172,76,120,10.147
15,-1,0,1013,133,211,157,10.424
15,-1,0,207,172,47,45,10.033
15,-1,1,174,223,82,71,10.128
16,-1,0,1037,131,187,157,10.589
16,-1,1,186,174,82,122,9.830
17,-1,0,1064,128,160,157,10.444
17,-1,1,195,174,80,122,9.830
17,-1,1,787,285,144,77,4.178
18,-1,0,1091,128,133,143,10.653
18,-1,1,194,173,81,124,9.794
18,-1,1,787,280,169,82,4.178
19,-1,0,1110,127,114,148,10.547
19,-1,2,208,176,81,121,9.830
19,-1,1,787,238,189,124,4.178
20,-1,0,1133,125,91,155,10.547
20,-1,2,209,173,88,129,9.848
20,-1,2,787,193,33,110,4.178
20,-1,1,818,305,177,57,5.929
21,-1,0,1158,128,66,152,10.674
21,-1,0,791,144,36,49,4.178
21,-1,2,217,171,102,132,9.848
21,-1,2,787,193,38,55,4.178
21,-1,2,800,248,31,51,4.178
21,-1,2,814,301,186,59,6.063
22,-1,1,1183,139,41,126,10.444
22,-1,2,788,146,225,212,4.178
22,-1,2,225,174,100,130,9.776
23,-1,0,787,164,245,192,4.178
23,-1,2,233,173,97,131,9.812
24,-1,2,789,159,262,195,4.178
24,-1,2,243,171,86,134,9.653
25,-1,2,801,147,260,206,7.490
26,-1,2,814,144,85,149,4.178
26,-1,2,262,173,91,132,12.824
26,-1,1,887,308,186,45,5.968
27,-1,2,826,143,230,210,7.448
28,-1,2,837,145,211,204,7.346
29,-1,2,827,146,281,203,7.295
30,-1,2,865,150,282,196,7.295
30,-1,2,288,171,99,133,9.776
31,-1,2,870,143,295,201,7.376
31,-1,2,300,172,101,131,12.886
32,-1,2,889,147,298,194,7.285
33,-1,2,902,148,88,141,7.717
33,-1,1,951,243,252,95,6.936
34,-1,1,913,235,294,98,7.396
35,-1,2,913,148,311,183,7.207
36,-1,2,942,137,282,193,7.407
37,-1,2,955,134,269,197,7.315
38,-1,2,965,133,118,181,7.396
38,-1,2,373,173,84,130,9.848
39,-1,2,962,134,262,195,7.266
39,-1,2,373,173,94,129,9.794
40,-1,2,969,138,255,190,7.407
41,-1,2,993,130,231,196,7.356
42,-1,2,1016,131,208,194,7.276
42,-1,2,416,170,83,133,9.741
43,-1,2,1025,130,98,175,7.437
43,-1,2,416,173,95,129,9.866
44,-1,2,1037,129,187,192,7.335
44,-1,2,420,177,97,125,13.237
45,-1,2,1035,131,189,187,7.396
46,-1,2,1058,131,166,183,7.427
47,-1,2,1076,127,143,184,7.407
47,-1,2,459,169,84,133,9.940
48,-1,2,1086,128,130,181,7.417
49,-1,2,1089,127,135,176,7.376
50,-1,2,1087,122,137,174,7.427
51,-1,2,1097,136,127,163,7.458
53,-1,2,503,234,40,53,10.631
82,-1,0,787,252,84,40,4.178
83,-1,1,787,237,94,55,4.178
84,-1,2,787,179,104,113,4.178
85,-1,2,787,174,32,80,4.178
86,-1,2,788,163,115,127,4.178
87,-1,2,795,170,128,122,4.178
88,-1,2,801,167,130,124,4.178
89,-1,0,803,179,135,110,4.178
90,-1,2,815,181,137,107,4.178
91,-1,0,828,176,128,110,4.178
92,-1,0,838,175,140,111,10.444
93,-1,2,846,175,145,110,10.444
94,-1,2,849,170,145,114,10.444
95,-1,2,863,165,126,116,10.363
98,-1,2,884,159,92,116,10.695
99,-1,1,434,171,41,40,30.384
100,-1,2,896,160,91,111,10.547
100,-1,1,434,171,46,40,30.384
101,-1,2,910,165,63,103,10.343
101,-1,1,432,166,50,46,29.875
102,-1,2,916,160,63,107,10.244
102,-1,1,432,173,53,40,29.222
103,-1,2,930,162,57,104,10.527
103,-1,1,431,172,53,41,28.145
104,-1,0,929,158,57,104,10.384
104,-1,1,431,171,59,42,28.145
105,-1,2,937,158,50,106,10.323
105,-1,1,433,171,61,43,27.852
106,-1,2,947,156,39,109,10.589
106,-1,1,435,171,62,44,27.565
107,-1,1,436,170,63,45,26.343
108,-1,1,437,170,68,45,26.214
108,-1,1,994,187,129,81,10.128
108,-1,2,965,201,21,45,16.505
109,-1,1,995,157,128,110,10.304
109,-1,1,436,170,72,45,25.959
110,-1,1,971,154,165,112,8.570
110,-1,1,436,170,77,45,25.834
111,-1,1,436,170,85,46,25.709
112,-1,0,999,150,152,114,10.717
112,-1,1,436,170,91,46,25.586
113,-1,0,1003,150,152,113,10.781
113,-1,1,436,170,99,47,25.709
114,-1,0,1004,150,183,112,10.738
