frame,track_id,class,cx,cy,w,h,depth
2,-1,0,88,155,296,188,10.695
3,-1,0,45,155,300,204,9.958
4,-1,0,0,157,329,213,9.316
6,-1,1,260,162,73,47,16.205
7,-1,2,449,189,47,70,11.650
8,-1,1,261,161,40,60,17.649
8,-1,2,459,163,45,100,11.525
9,-1,1,268,159,37,59,17.533
9,-1,2,453,161,52,104,11.550
10,-1,0,275,160,48,75,16.156
10,-1,2,827,164,32,124,4.178
10,-1,2,471,174,37,85,11.525
11,-1,1,271,160,38,79,17.306
11,-1,2,827,163,32,109,4.178
11,-1,2,480,180,43,83,11.805
12,-1,2,266,159,54,80,17.250
12,-1,2,827,162,40,91,4.178
13,-1,2,267,159,32,66,17.362
13,-1,1,307,163,26,43,15.821
13,-1,2,831,162,44,100,4.178
14,-1,1,269,158,70,66,16.404
14,-1,2,493,161,52,107,11.118
14,-1,2,827,165,54,136,4.178
15,-1,1,263,158,63,64,17.030
15,-1,2,833,165,66,134,4.178
16,-1,1,827,153,30,48,4.178
16,-1,1,315,157,27,49,15.500
16,-1,2,265,158,40,78,16.976
16,-1,2,827,164,72,139,4.178
17,-1,1,841,153,24,46,4.178
17,-1,1,256,159,58,81,16.816
17,-1,2,827,163,76,136,4.178
18,-1,2,840,154,72,153,4.178
18,-1,1,260,160,54,72,16.976
18,-1,2,513,161,46,112,10.825
18,-1,1,333,163,24,46,15.963
19,-1,2,842,157,87,152,4.178
19,-1,1,265,160,50,65,16.816
19,-1,1,227,173,28,45,16.556
20,-1,2,827,155,116,155,4.178
20,-1,1,266,158,51,67,16.711
20,-1,2,529,162,41,106,10.465
21,-1,2,827,154,130,157,4.168
21,-1,2,530,157,49,117,10.404
21,-1,1,228,162,95,73,16.353
22,-1,2,829,153,127,164,4.175
22,-1,1,239,161,121,83,16.505
23,-1,1,240,156,123,90,16.205
23,-1,2,533,168,50,111,18.568
24,-1,1,202,157,55,47,15.411
24,-1,0,267,157,102,84,15.682
25,-1,0,264,155,108,87,16.059
25,-1,2,827,156,153,166,9.465
26,-1,1,197,155,65,58,15.235
26,-1,2,827,154,182,170,9.284
26,-1,1,269,162,58,64,15.915
26,-1,2,344,166,29,73,17.030
27,-1,2,829,152,188,175,8.766
27,-1,1,198,156,136,92,15.682
27,-1,2,348,163,31,77,16.816
28,-1,2,827,152,192,181,8.781
28,-1,1,211,157,128,93,15.591
28,-1,2,353,162,25,83,16.556
29,-1,2,827,153,194,183,8.724
29,-1,1,196,156,145,93,15.192
29,-1,2,348,165,43,82,16.505
30,-1,2,827,155,210,182,8.738
30,-1,1,211,161,132,74,15.455
30,-1,2,353,165,47,83,16.205
31,-1,0,197,155,147,95,15.149
31,-1,2,827,155,235,184,10.913
31,-1,2,361,165,33,84,18.440
32,-1,0,827,153,258,189,10.803
32,-1,0,199,157,150,94,15.064
32,-1,1,365,164,36,65,17.707
33,-1,0,831,152,262,192,11.141
33,-1,0,199,158,202,93,15.367
34,-1,0,843,152,251,194,10.847
34,-1,1,197,156,157,97,14.611
34,-1,2,374,164,34,85,13.962
35,-1,0,857,153,240,195,10.781
35,-1,1,201,156,158,97,14.531
35,-1,2,376,166,33,81,20.727
36,-1,0,871,155,242,195,10.717
36,-1,1,201,158,161,95,14.571
36,-1,1,374,165,38,83,20.889
37,-1,2,883,154,254,199,10.803
37,-1,1,193,156,171,99,15.192
37,-1,2,383,165,36,78,21.053
38,-1,1,205,158,168,99,14.611
39,-1,0,908,151,269,207,7.981
39,-1,1,212,161,159,96,14.184
40,-1,2,921,152,260,207,7.958
40,-1,0,219,159,158,98,14.298
41,-1,2,940,155,261,207,9.284
41,-1,0,223,157,160,100,14.036
41,-1,2,381,165,60,87,13.043
41,-1,1,165,215,121,43,13.926
42,-1,2,958,155,253,209,9.268
42,-1,0,226,158,168,98,13.926
42,-1,2,403,164,41,69,13.237
43,-1,0,153,155,243,104,15.106
43,-1,2,973,154,251,216,9.252
43,-1,2,405,163,42,89,12.642
44,-1,1,987,152,237,218,9.316
44,-1,0,234,155,216,105,13.926
45,-1,1,1003,152,221,218,8.957
45,-1,0,241,155,110,80,13.747
45,-1,2,416,165,38,87,12.407
46,-1,1,244,156,134,104,14.492
46,-1,2,407,165,52,89,12.524
47,-1,1,154,155,310,108,13.747
47,-1,1,1040,180,184,190,7.092
48,-1,0,172,157,195,107,13.011
48,-1,2,433,163,31,77,12.763
48,-1,1,1068,294,156,76,5.922
49,-1,0,251,159,117,101,14.337
49,-1,2,433,164,34,70,12.793
50,-1,0,254,159,116,77,14.337
51,-1,2,836,153,23,60,4.178
51,-1,1,166,158,207,107,12.465
51,-1,1,364,159,62,103,20.411
51,-1,2,436,165,38,93,12.181
51,-1,1,828,216,21,48,4.178
52,-1,0,205,156,173,110,12.524
52,-1,1,396,157,81,101,11.650
52,-1,2,827,158,51,165,4.178
53,-1,0,257,155,124,107,13.818
53,-1,2,399,157,84,103,11.650
53,-1,2,830,157,77,167,4.178
54,-1,0,253,155,140,112,12.465
54,-1,2,401,159,86,107,11.625
54,-1,2,827,158,82,169,4.178
55,-1,2,855,152,62,151,4.178
55,-1,0,193,155,199,114,12.017
55,-1,2,405,161,94,104,11.575
56,-1,1,197,154,303,112,12.379
56,-1,2,830,157,109,173,4.175
57,-1,2,827,157,156,178,4.178
57,-1,1,202,158,202,112,11.990
57,-1,1,455,164,49,96,11.500
59,-1,1,186,155,223,117,14.036
59,-1,2,827,159,169,187,9.284
59,-1,2,471,163,46,95,11.378
60,-1,0,187,155,222,118,13.854
60,-1,2,827,159,166,190,9.252
60,-1,2,429,161,98,108,11.141
61,-1,1,827,156,200,196,8.839
62,-1,0,174,154,358,119,14.492
62,-1,2,827,158,238,198,8.556
63,-1,2,819,156,266,205,8.570
64,-1,2,834,154,257,211,8.542
65,-1,0,197,155,353,121,11.727
66,-1,0,865,152,255,218,8.597
66,-1,1,198,157,354,119,11.354
67,-1,0,890,151,289,219,8.343
68,-1,2,918,157,285,213,7.946
68,-1,1,203,158,360,121,13.336
69,-1,1,204,158,251,122,12.886
69,-1,2,531,168,36,98,10.444
70,-1,0,215,159,243,122,13.269
70,-1,2,450,160,121,115,10.343
71,-1,1,1013,148,211,222,5.559
71,-1,0,252,154,331,129,13.011
72,-1,1,250,154,50,51,30.733
72,-1,0,221,157,362,126,12.980
73,-1,0,215,156,333,128,10.527
73,-1,2,554,182,29,77,10.033
73,-1,2,1129,200,95,170,7.585
74,-1,0,215,156,368,130,10.424
74,-1,1,1152,295,72,75,6.111
75,-1,0,213,158,370,129,10.186
76,-1,0,282,159,301,129,10.205
77,-1,0,282,157,301,132,10.166
77,-1,1,240,241,67,42,11.282
78,-1,0,288,155,295,135,10.033
78,-1,1,237,242,89,43,11.451
79,-1,0,225,155,316,136,13.336
79,-1,1,527,169,56,91,24.088
80,-1,1,531,169,52,94,23.873
82,-1,0,290,157,293,137,13.237
83,-1,0,324,157,259,137,13.107
83,-1,1,542,166,29,56,10.465
84,-1,0,284,158,288,136,13.171
86,-1,0,311,157,272,142,9.601
87,-1,0,326,157,257,142,12.732
87,-1,1,269,158,29,47,22.375
88,-1,1,267,156,28,48,23.050
88,-1,0,308,158,275,145,12.732
89,-1,0,259,155,324,147,12.824
89,-1,1,265,162,27,41,20.889
90,-1,0,317,154,266,150,11.937
91,-1,0,290,156,293,150,12.322
92,-1,0,271,157,312,150,12.379
93,-1,0,328,158,255,150,12.265
94,-1,0,332,158,251,146,12.379
95,-1,0,335,156,248,154,12.237
96,-1,0,329,155,254,157,12.350
97,-1,0,332,156,251,157,16.816
98,-1,0,364,157,219,158,11.910
99,-1,0,358,157,225,161,11.910
100,-1,0,363,155,220,159,9.848
101,-1,1,350,155,233,157,9.830
102,-1,0,359,155,176,129,11.141
102,-1,1,377,154,206,164,10.781
103,-1,1,333,155,251,164,9.830
104,-1,0,323,159,227,128,11.187
104,-1,1,387,181,196,141,9.465
105,-1,1,344,159,207,131,10.847
105,-1,1,827,158,23,48,4.178
105,-1,2,827,209,27,96,4.178
106,-1,2,827,150,46,164,4.178
106,-1,0,313,161,245,128,10.781
107,-1,2,827,149,72,166,4.178
107,-1,0,335,154,235,137,10.781
108,-1,2,827,151,72,173,4.178
108,-1,0,333,153,230,140,10.781
109,-1,2,827,153,74,172,4.178
109,-1,0,349,155,234,139,10.781
110,-1,2,827,151,97,175,4.178
110,-1,0,338,157,241,139,10.695
111,-1,2,827,149,133,176,4.178
111,-1,0,371,155,211,140,10.485
